machine_id,machine_type,plant_section,shift,maintenance_plan,temperature_c,vibration_mm_s,pressure_bar,operating_hours,days_since_service,load_percent,alarm_count_30d,critical_failure_30d
M-200001,Motor,Process-A,Day,Standard,64.741,0.6536,8.484,2646.21,106.4,54.421,5,0
M-200002,Compressor,Process-A,Day,Enhanced,66.826,1.9533,,6211.56,186.33,71.98,2,0
M-200003,Compressor,Packaging,Evening,Standard,66.657,2.3781,5.572,3045.41,44.65,81.925,2,0
M-200004,Motor,Process-B,Evening,Standard,76.114,1.1704,1.5,3352.88,122.47,73.313,1,0
M-200005,Motor,Packaging,Evening,Standard,62.486,1.6846,6.869,,52.71,75.3,1,0
M-200006,Motor,Packaging,Night,Minimal,,1.1603,6.495,1855.78,109.49,72.42,1,0
M-200007,Motor,Utilities,Night,Standard,70.661,2.0284,5.602,2955.19,55.19,61.348,3,0
M-200008,Fan,Process-A,Evening,Enhanced,63.878,0.7617,6.207,1434.66,85.1,98.621,1,0
M-200009,Motor,Process-A,Night,Standard,56.973,1.5639,3.973,8412.17,77.66,59.673,2,0
M-200010,Motor,Process-B,Evening,Minimal,,3.9162,5.264,2451.46,43.4,88.16,1,0
M-200011,Compressor,,Evening,,60.435,,8.452,940.21,53.8,99.432,0,0
M-200012,Fan,Storage,Day,Standard,76.031,1.7356,7.471,10181.8,25.48,61.751,2,0
M-200013,Pump,Process-B,Evening,Standard,75.608,1.2503,8.971,4251.95,63.89,60.371,3,0
M-200014,Motor,Process-B,Night,Minimal,70.891,2.1735,7.292,8214.9,41.11,55.077,0,0
M-200015,Pump,Packaging,Day,Standard,69.895,,5.889,3675.35,40.01,82.432,1,0
M-200016,Compressor,Utilities,Day,Minimal,64.426,2.6932,6.94,4424.97,75.04,89.17,1,0
M-200017,Motor,Packaging,Night,Enhanced,59.457,1.8905,6.176,5147.41,31.06,63.3,1,0
M-200018,Motor,Process-A,Day,Minimal,63.227,0.8294,7.849,3778.24,107.9,77.975,0,0
M-200019,Fan,Storage,Day,Standard,70.383,1.6909,7.817,5857.8,183.48,86.951,1,0
M-200020,Fan,Utilities,Day,Standard,83.24,2.2837,7.263,5231.01,62.49,89.401,2,1
M-200021,Compressor,Utilities,Day,Standard,80.127,2.0539,5.492,5059.7,87.87,85.286,3,1
M-200022,Pump,Process-A,Evening,Standard,64.856,,6.233,5407.49,146.54,86.951,1,0
M-200023,Pump,Storage,Day,Standard,63.747,1.5416,5.104,7469.57,61.32,78.759,0,1
M-200024,Fan,Process-B,Day,Standard,87.909,1.6551,5.953,3718.39,91.35,78.429,0,0
M-200025,Pump,Packaging,Night,Standard,73.471,1.9791,6.491,,167.1,52.198,0,0
M-200026,Pump,Process-A,Day,Standard,63.894,1.4508,8.099,5968.68,42.32,78.012,0,0
M-200027,Pump,Process-A,Evening,,71.542,,9.54,5621.45,55.53,84.749,2,0
M-200028,Compressor,Process-B,Day,Enhanced,67.676,1.1671,5.554,4313.27,114.22,69.482,0,0
M-200029,Motor,Process-B,Evening,Standard,62.145,1.6215,6.266,2439.43,218.92,80.582,0,1
M-200030,Pump,Packaging,Day,Standard,49.423,2.7018,5.45,2678.72,23.69,59.627,1,0
M-200031,Motor,Utilities,Day,Minimal,63.431,2.306,4.079,3619.47,53.52,77.024,1,0
M-200032,Compressor,Process-B,Evening,,66.986,,6.862,8360.76,225.69,79.709,0,1
M-200033,Pump,Packaging,Evening,Standard,83.653,1.5471,7.271,9207.19,105.62,72.686,2,0
M-200034,Compressor,Utilities,Day,Standard,64.17,1.4988,6.551,4503.54,62.4,69.505,2,0
M-200035,Motor,Process-A,Day,Standard,77.128,2.3423,8.676,8447.47,87.63,76.139,1,0
