job_id,equipment_type,service_type,region,technician_level,urgency,equipment_age_years,estimated_hours,distance_km,parts_count,ambient_temp_c,prior_failures,job_cost
JOB-100001,Compressor,Overhaul,South,Junior,Emergency,8.626,10.957,,3,35.301,,13822.43
JOB-100002,Compressor,Preventive,West,Senior,Emergency,12.681,3.814,23.149,3,34.787,0,7955.31
JOB-100003,Compressor,Repair,South,Mid,Routine,17.483,2.776,41.21,4,,0,8147.21
JOB-100004,Compressor,Repair,West,Senior,Priority,8.827,8.541,17.919,3,30.739,2,8846.04
JOB-100005,Pump,Repair,South,Mid,Routine,6.368,0.651,5.746,1,27.785,1,4713.58
JOB-100006,Pump,Inspection,East,Mid,Priority,14.588,4.891,,2,24.597,3,7020.45
JOB-100007,Motor,Overhaul,East,Junior,Routine,1.91,3.089,23.41,3,36.765,4,7810.1
JOB-100008,Heat Exchanger,Repair,South,Junior,Routine,,6.244,106.215,,20.722,1,7525.58
JOB-100009,Motor,Repair,East,Junior,Priority,11.929,4.399,10.745,3,,0,7819.85
JOB-100010,Valve,Inspection,West,Mid,Priority,4.031,4.48,69.786,1,31.281,2,6650.44
JOB-100011,Compressor,Preventive,North,Mid,Priority,7.894,13.699,42.313,1,29.927,1,9198.28
JOB-100012,Pump,Preventive,South,Senior,Priority,3.683,6.989,79.181,4,21.651,0,8316.24
JOB-100013,Motor,Inspection,South,Mid,Routine,3.866,,13.72,4,37.705,1,7000.72
JOB-100014,Pump,Overhaul,South,Senior,Priority,3.736,9.86,10.991,2,37.169,3,10720.01
JOB-100015,Pump,Repair,East,Mid,Routine,1.408,10.204,,4,25.101,5,8679.73
JOB-100016,Pump,Repair,South,Mid,Routine,,4.551,13.095,7,27.934,0,7607.5
JOB-100017,Motor,Overhaul,West,Junior,Routine,15.896,10.819,29.136,,,4,10238.03
JOB-100018,Motor,Repair,South,Junior,Routine,17.833,9.282,42.252,3,20.608,1,9062.05
JOB-100019,Pump,Overhaul,West,Mid,Emergency,11.907,1.161,13.67,2,24.074,3,9534.8
JOB-100020,Motor,Repair,West,Senior,Routine,,7.113,26.661,2,34.645,2,7998.26
JOB-100021,Motor,Inspection,East,Mid,Routine,11.069,5.079,13.591,1,29.099,0,3428.43
JOB-100022,Compressor,Inspection,North,Mid,Routine,4.403,6.238,3.114,1,38.262,2,6153.1
JOB-100023,Compressor,Preventive,North,Junior,Routine,7.908,6.422,23.632,4,37.197,5,8716.51
JOB-100024,Pump,Repair,East,Mid,Routine,5.862,1.838,13.722,2,29.44,1,5541.3
JOB-100025,Motor,Preventive,East,Mid,Routine,4.333,5.691,5.62,2,31.979,2,4597.4
JOB-100026,Pump,Repair,South,Senior,Routine,1.724,1.687,28.055,1,26.94,1,5490.77
JOB-100027,Motor,Preventive,North,Mid,Routine,8.191,,9.452,2,,1,4548.18
JOB-100028,Motor,Preventive,North,Junior,Routine,4.782,3.586,9.227,3,33.016,2,4592.3
JOB-100029,Heat Exchanger,Inspection,West,Junior,Routine,12.074,2.022,24.009,0,25.699,0,5075.04
JOB-100030,Compressor,Repair,East,Mid,,12.83,4.536,3.918,2,36.612,3,9700.07
JOB-100031,Heat Exchanger,Repair,West,Mid,Priority,8.805,7.562,12.525,3,38.414,2,9563.93
JOB-100032,Motor,Inspection,North,Mid,Routine,6.22,3.975,25.104,7,36.23,0,6803.67
JOB-100033,Pump,Repair,East,,Routine,6.263,7.266,26.649,3,29.534,1,6531.35
JOB-100034,,Inspection,East,Mid,Priority,13.631,2.063,20.033,1,19.858,2,5300.7
JOB-100035,Compressor,Repair,North,Mid,Routine,5.958,5.67,16.563,4,23.36,1,6781.57
JOB-100036,Compressor,Repair,West,Senior,Routine,10.791,,9.377,5,30.782,2,8957.99
JOB-100037,Valve,Repair,West,Senior,Routine,6.661,8.599,25.948,2,,1,7966.49
JOB-100038,Pump,Preventive,East,Junior,Priority,5.84,2.272,9.363,4,22.655,2,6809.0
JOB-100039,Pump,Overhaul,North,Junior,Routine,7.537,17.718,54.961,1,32.419,2,13231.09
JOB-100040,Pump,Repair,North,Mid,Priority,19.883,4.52,12.572,1,27.062,1,6218.29
JOB-100041,Heat Exchanger,Preventive,East,Junior,Routine,10.104,9.412,33.717,2,34.5,0,8824.61
JOB-100042,Valve,Inspection,South,Senior,Routine,5.435,3.175,49.153,4,34.753,0,5245.6
JOB-100043,Motor,Repair,East,Junior,Routine,7.633,1.431,16.161,2,34.447,1,5800.12
JOB-100044,,Preventive,East,Junior,Routine,9.654,10.052,22.992,1,28.649,0,6564.78
JOB-100045,Valve,Inspection,,Junior,Priority,9.153,1.54,24.658,0,34.671,0,3386.34
JOB-100046,Valve,Overhaul,South,Mid,Routine,2.637,3.918,8.287,0,27.588,0,7952.96
JOB-100047,Compressor,Overhaul,South,Mid,Routine,8.178,7.985,39.022,2,28.809,2,9429.17
JOB-100048,Pump,Repair,East,Junior,Priority,13.518,4.153,14.99,4,33.708,2,7949.59
JOB-100049,Pump,Preventive,West,Senior,Routine,6.357,3.855,21.158,2,16.03,2,5280.13
JOB-100050,Pump,Repair,West,Mid,Emergency,1.802,7.23,6.702,2,43.24,1,8883.25
JOB-100051,Motor,Preventive,South,Junior,Priority,6.225,6.557,24.85,1,24.06,2,5828.69
JOB-100052,Motor,Inspection,West,Senior,Emergency,11.355,6.305,9.441,2,23.548,1,7175.29
JOB-100053,Motor,Repair,East,Senior,Priority,12.093,,27.387,2,28.871,1,6715.56
JOB-100054,Motor,Overhaul,,Mid,Priority,,2.363,15.457,1,35.876,2,7607.19
JOB-100055,Valve,Repair,North,Junior,Emergency,7.766,2.162,11.152,2,32.802,1,7166.49
JOB-100056,Motor,Repair,South,Mid,Routine,1.946,,11.443,1,28.371,0,3940.25
JOB-100057,Motor,,South,Mid,Routine,2.165,3.005,7.515,1,35.937,0,2360.3
JOB-100058,,Preventive,South,,Routine,13.503,9.519,9.514,1,35.39,1,5680.53
JOB-100059,Pump,Inspection,East,Mid,Routine,14.133,4.691,26.059,3,37.027,1,6553.11
JOB-100060,Valve,Overhaul,West,Senior,Routine,13.139,13.955,,0,23.794,0,8742.28
JOB-100061,Pump,Overhaul,West,Junior,Routine,7.68,3.759,,,30.466,1,9152.48
JOB-100062,Pump,Repair,South,Mid,Routine,4.168,5.72,42.456,2,29.321,1,5871.9
JOB-100063,Valve,Preventive,South,Mid,Priority,13.88,3.935,10.535,0,27.153,0,4760.77
JOB-100064,Valve,Repair,South,Senior,Routine,,3.993,12.992,,36.248,4,5676.48
JOB-100065,Motor,Overhaul,,Junior,Routine,4.279,9.02,14.515,3,29.548,0,9124.86
JOB-100066,Motor,Repair,South,Junior,Routine,,2.712,17.764,1,43.001,2,4315.55
JOB-100067,Heat Exchanger,Inspection,North,Mid,Routine,,6.656,16.917,4,22.413,2,7962.18
JOB-100068,Motor,Repair,South,Mid,Routine,8.599,7.014,5.881,3,33.204,0,7188.58
JOB-100069,Heat Exchanger,Preventive,North,Mid,Routine,13.634,1.476,37.272,2,23.056,2,6112.41
JOB-100070,Compressor,Inspection,North,Mid,Routine,6.661,5.3,28.026,3,22.053,0,6249.96
JOB-100071,Motor,Repair,East,Junior,Routine,11.863,3.688,13.726,1,29.214,4,5335.28
JOB-100072,Pump,Inspection,East,Mid,Emergency,3.175,14.109,67.52,3,32.743,1,10268.6
JOB-100073,Motor,Preventive,East,Senior,Priority,11.872,4.032,15.689,3,29.81,3,6885.62
JOB-100074,Heat Exchanger,Repair,North,Mid,Priority,9.149,,16.582,1,36.242,0,10210.45
JOB-100075,Compressor,Preventive,East,,Routine,8.643,7.799,,2,18.86,1,6767.05
JOB-100076,Motor,Repair,South,,Routine,3.613,6.581,13.477,4,27.303,4,6997.1
JOB-100077,Heat Exchanger,Repair,West,Mid,Emergency,24.841,2.844,6.862,8,39.109,1,13469.9
JOB-100078,Pump,Repair,East,Junior,Routine,1.475,6.056,22.809,4,28.7,0,6177.76
JOB-100079,Compressor,Repair,West,Mid,Routine,6.096,9.68,44.595,2,26.463,1,9980.54
JOB-100080,Heat Exchanger,Preventive,,Junior,Priority,5.519,4.797,18.123,4,35.998,2,7119.44
JOB-100081,,Inspection,South,Senior,Routine,13.629,7.191,,4,31.374,1,6204.73
JOB-100082,Pump,Repair,North,Senior,Priority,7.062,7.17,,2,26.628,,8770.98
JOB-100083,Motor,Preventive,West,Junior,Routine,1.109,1.23,67.216,2,34.203,1,5495.1
JOB-100084,Valve,Preventive,West,Senior,Routine,,7.737,40.14,4,28.157,1,8735.15
JOB-100085,Compressor,Repair,South,Mid,Priority,,4.003,118.664,1,28.127,1,8796.29
JOB-100086,Pump,Overhaul,South,Mid,Routine,7.077,4.363,29.245,3,40.146,6,8220.75
JOB-100087,Valve,Overhaul,South,Mid,Priority,,,28.122,2,28.34,1,9759.75
JOB-100088,Motor,Overhaul,East,Junior,Routine,6.844,2.916,35.246,4,27.477,2,9160.7
JOB-100089,Valve,Preventive,North,Senior,Routine,11.228,2.21,7.523,1,35.236,1,3652.86
JOB-100090,Motor,Overhaul,North,Mid,Emergency,2.715,9.63,33.15,2,,1,11707.77
JOB-100091,Compressor,Preventive,West,Mid,Routine,5.018,7.532,93.5,0,31.205,0,6886.25
JOB-100092,Compressor,Repair,East,Senior,Priority,,2.079,,2,29.655,0,6830.41
JOB-100093,Compressor,Repair,East,Senior,Routine,11.597,8.605,19.966,5,22.776,1,9693.25
JOB-100094,Motor,Preventive,South,Junior,Routine,8.953,2.138,30.649,2,23.822,1,4678.15
JOB-100095,Pump,Overhaul,East,Junior,Emergency,10.57,7.264,17.059,2,32.694,3,12388.21
JOB-100096,Motor,Inspection,South,Mid,Emergency,3.731,3.053,26.994,4,33.206,2,7716.22
JOB-100097,Pump,,West,Junior,Routine,4.969,1.693,15.231,,29.597,1,3326.73
JOB-100098,Valve,Preventive,East,Senior,Routine,15.315,6.247,51.055,3,25.313,0,7551.1
JOB-100099,Pump,Repair,South,Mid,Emergency,8.381,2.128,,2,44.831,1,7682.52
JOB-100100,Motor,Overhaul,,Senior,Routine,6.188,4.972,15.823,4,39.224,0,8312.84
JOB-100101,Motor,Inspection,West,Junior,Routine,3.797,14.62,14.475,,31.286,2,8229.71
JOB-100102,Compressor,Overhaul,South,Senior,Routine,7.141,4.37,11.64,3,38.213,1,10092.68
JOB-100103,Motor,Overhaul,East,Senior,Emergency,5.906,5.526,18.072,1,22.469,0,10078.96
JOB-100104,Pump,Repair,,Mid,Routine,21.997,10.188,57.903,0,35.343,1,9301.29
JOB-100105,Motor,Repair,East,Mid,Priority,,5.579,16.606,0,35.803,0,7589.66
JOB-100106,Motor,Preventive,West,,Emergency,5.53,5.685,36.874,0,31.247,2,6341.41
JOB-100107,Pump,Inspection,West,Junior,Routine,12.518,5.197,13.224,5,34.193,2,6428.06
JOB-100108,Pump,Preventive,South,Junior,Routine,4.008,2.115,13.439,1,33.498,1,3328.25
JOB-100109,Compressor,Preventive,South,Senior,Routine,4.728,16.666,14.719,2,31.889,3,7557.28
JOB-100110,Heat Exchanger,Inspection,North,Mid,Routine,14.991,4.582,20.77,3,31.621,3,6422.23
JOB-100111,Compressor,Preventive,West,Mid,Priority,5.291,6.221,36.853,5,27.594,2,9487.59
JOB-100112,Compressor,Preventive,,Mid,Routine,7.539,2.717,29.692,2,23.84,1,6424.3
JOB-100113,Motor,Repair,East,Junior,Routine,6.432,3.346,39.182,3,28.393,1,5944.11
JOB-100114,Compressor,Overhaul,South,Junior,Routine,3.039,4.659,22.244,3,22.571,1,8443.83
JOB-100115,Compressor,Inspection,West,Senior,Routine,4.747,4.702,31.774,7,30.892,0,8795.87
JOB-100116,Pump,Repair,East,Junior,Priority,2.599,3.756,13.291,5,27.272,4,8808.2
JOB-100117,Valve,Preventive,South,Junior,Priority,12.523,9.131,17.618,4,45.129,2,8804.91
JOB-100118,Pump,Repair,North,Mid,Routine,7.39,2.076,40.315,2,25.587,2,5821.15
JOB-100119,Motor,Inspection,East,Senior,Priority,11.897,6.829,17.198,1,29.784,0,4688.32
JOB-100120,Pump,Inspection,East,Mid,Routine,3.438,3.493,78.132,1,25.963,2,5438.57
JOB-100121,Motor,Inspection,South,Senior,Routine,4.403,16.739,26.486,3,30.318,0,7906.12
JOB-100122,Valve,Overhaul,South,Mid,Routine,0.897,1.945,25.333,3,38.657,0,7875.93
JOB-100123,Valve,Inspection,North,Mid,Emergency,3.002,4.235,13.58,2,38.616,2,5907.5
JOB-100124,Motor,Overhaul,North,Senior,Priority,4.314,3.571,16.422,2,28.184,2,8820.63
JOB-100125,Compressor,Preventive,West,Mid,Routine,2.041,18.784,,3,34.335,3,12879.54
JOB-100126,,Repair,South,Senior,Routine,9.574,9.367,,3,40.777,1,7430.08
JOB-100127,Heat Exchanger,Inspection,North,Mid,Routine,10.086,10.552,12.41,6,31.138,5,9932.01
JOB-100128,Motor,Overhaul,East,Junior,Routine,6.505,20.0,,1,35.946,2,10960.17
JOB-100129,Compressor,Repair,East,Mid,Routine,3.71,1.469,11.193,2,16.062,3,5939.7
JOB-100130,Pump,Inspection,South,Mid,Priority,12.52,2.317,21.712,2,24.753,0,5221.3
JOB-100131,Compressor,Inspection,West,Mid,Routine,9.419,5.727,21.454,,40.545,0,7378.43
JOB-100132,Motor,Repair,North,Junior,Routine,14.412,2.94,8.346,1,31.398,3,5256.56
JOB-100133,Pump,Repair,West,Junior,Priority,10.031,2.734,38.405,2,25.224,0,7060.29
JOB-100134,Compressor,Inspection,North,Junior,Emergency,10.553,7.325,15.36,7,31.288,0,10595.35
JOB-100135,Pump,Preventive,South,Mid,Routine,7.733,4.285,26.413,5,30.193,1,7834.06
JOB-100136,Valve,,East,Mid,Priority,4.08,5.216,22.391,0,,2,5549.8
JOB-100137,Motor,Repair,South,Junior,Routine,15.467,20.0,7.514,3,41.49,1,11952.21
JOB-100138,Pump,Preventive,South,Senior,Routine,4.749,1.321,42.414,6,26.907,1,7826.31
JOB-100139,Motor,Preventive,East,Mid,Routine,6.363,16.067,29.892,1,39.258,1,9109.6
JOB-100140,Pump,Repair,East,Mid,Routine,3.791,5.03,33.334,4,40.665,1,7960.5
JOB-100141,Motor,Inspection,South,Senior,Routine,9.792,2.823,30.948,0,33.426,0,3785.93
JOB-100142,,Inspection,North,Mid,Routine,11.318,4.334,29.739,0,40.304,2,4548.32
JOB-100143,Motor,Overhaul,East,Senior,Priority,7.214,7.963,7.072,1,31.531,2,9125.66
JOB-100144,Pump,Inspection,West,Junior,Routine,25.0,4.328,,1,24.493,2,5473.3
JOB-100145,Valve,Preventive,North,Mid,Priority,3.969,5.006,34.997,2,32.272,1,6285.93
JOB-100146,Compressor,Repair,South,Junior,Routine,2.647,5.69,66.468,1,35.57,0,6012.67
JOB-100147,Pump,Repair,West,Senior,Routine,2.202,3.5,17.896,2,31.656,3,7488.95
JOB-100148,Pump,Inspection,North,Mid,Routine,5.234,5.005,18.69,4,26.601,2,6641.69
JOB-100149,Pump,Inspection,North,Mid,Routine,4.063,,66.457,0,36.67,1,3423.01
JOB-100150,Pump,Preventive,South,Mid,Routine,11.857,1.846,32.747,3,43.8,0,5652.98
JOB-100151,Motor,Repair,East,Senior,Priority,3.299,1.948,25.505,3,32.288,1,6793.18
JOB-100152,Motor,Preventive,East,Mid,Priority,4.347,3.13,30.243,2,31.718,1,6196.02
JOB-100153,Pump,Repair,North,Mid,Emergency,1.204,,17.031,2,25.463,3,9688.17
JOB-100154,Compressor,Repair,,Mid,Routine,1.893,5.376,30.939,3,31.576,1,7255.14
JOB-100155,Valve,Overhaul,East,Senior,Priority,11.958,1.466,42.412,3,28.907,1,8829.77
JOB-100156,Motor,Overhaul,East,Mid,Routine,5.499,3.626,9.35,1,30.975,0,7603.87
JOB-100157,Compressor,,South,Senior,Routine,3.175,4.446,37.426,3,31.412,1,8727.96
JOB-100158,Valve,Preventive,South,Mid,Emergency,7.263,6.668,22.947,4,34.595,0,6986.56
JOB-100159,Compressor,Inspection,South,Senior,Routine,14.492,9.107,27.744,3,29.31,2,7635.73
JOB-100160,Pump,Repair,North,Mid,Routine,10.577,1.898,8.17,3,31.555,2,6037.25
JOB-100161,Motor,Overhaul,South,Junior,Routine,11.021,2.306,20.23,,35.18,0,8333.26
JOB-100162,Pump,Repair,North,Senior,Routine,11.306,0.777,41.028,3,29.854,2,7113.58
JOB-100163,Motor,Inspection,West,Senior,Routine,,8.639,24.973,3,30.025,0,6254.92
JOB-100164,Motor,,East,Mid,Routine,8.929,3.159,13.821,2,33.889,1,6910.39
JOB-100165,Compressor,Repair,East,Mid,Routine,15.997,2.878,16.332,1,27.892,0,6186.79
JOB-100166,Pump,Inspection,West,Mid,Routine,2.646,10.397,11.326,3,36.64,2,7302.87
JOB-100167,Pump,Overhaul,South,Mid,Emergency,11.596,7.408,42.248,3,27.502,3,13201.06
JOB-100168,Valve,Repair,North,Mid,Routine,9.16,,17.125,3,25.68,1,5276.42
JOB-100169,Motor,Overhaul,South,Senior,Routine,19.887,2.128,5.122,1,25.32,0,6425.94
JOB-100170,Pump,Repair,West,Mid,Priority,9.156,4.238,39.519,,30.497,4,8792.8
JOB-100171,Motor,Inspection,,Mid,,5.662,4.983,15.38,,27.124,1,4706.69
JOB-100172,Motor,Preventive,South,Mid,Priority,5.552,5.05,16.554,3,18.822,0,5161.58
JOB-100173,Motor,Repair,South,Mid,Routine,4.21,10.074,,3,33.675,0,6971.09
JOB-100174,Valve,Inspection,East,Mid,Routine,,13.169,15.664,1,34.072,2,5224.77
JOB-100175,Pump,Repair,South,Junior,Priority,3.748,9.268,28.236,2,44.308,0,7564.66
JOB-100176,Valve,Repair,West,Senior,Routine,3.608,4.131,44.768,1,34.697,3,7409.92
JOB-100177,,Repair,South,Junior,Routine,8.75,1.817,47.514,2,28.987,3,6769.96
JOB-100178,Valve,Repair,,Mid,Priority,10.971,,7.905,1,35.497,1,6251.56
JOB-100179,Pump,Repair,South,Senior,Priority,6.424,6.978,21.248,3,28.185,0,7878.35
JOB-100180,Motor,Repair,South,Mid,Routine,6.245,7.173,21.302,8,26.434,3,10736.74
JOB-100181,Compressor,Repair,East,Mid,Priority,4.739,13.221,37.398,3,36.101,0,10201.58
JOB-100182,Motor,Repair,South,Mid,Routine,2.482,9.215,32.897,3,35.362,2,7789.85
JOB-100183,Valve,Repair,North,Senior,Routine,9.892,10.35,64.34,7,31.077,1,10861.04
JOB-100184,Heat Exchanger,Repair,South,Senior,Priority,10.423,7.113,9.012,2,31.017,0,9139.82
JOB-100185,Valve,Preventive,South,Mid,Priority,1.13,8.104,24.641,2,37.459,1,6579.66
JOB-100186,Valve,Inspection,,Senior,Priority,9.09,4.54,15.47,2,28.754,2,6287.97
JOB-100187,Pump,Overhaul,North,Mid,Emergency,11.763,3.48,11.92,1,23.876,2,9427.22
JOB-100188,Valve,Overhaul,North,Junior,Priority,9.446,8.541,20.848,2,28.273,1,9460.37
JOB-100189,,Inspection,,Mid,Routine,3.754,6.948,12.632,3,31.698,1,4584.16
JOB-100190,Compressor,Repair,East,Junior,Emergency,,9.883,40.4,1,24.948,3,12779.66
JOB-100191,,Inspection,South,Senior,Routine,6.782,13.314,26.675,4,33.103,2,7401.17
JOB-100192,Pump,Overhaul,North,Senior,Routine,,9.949,8.591,2,44.149,2,10228.95
JOB-100193,Valve,Overhaul,West,Mid,Routine,4.503,3.813,11.971,1,34.98,0,7004.07
JOB-100194,Pump,Preventive,East,Senior,Routine,10.211,2.453,35.346,3,,1,5813.29
JOB-100195,Pump,Preventive,East,Mid,Priority,25.0,,15.704,3,33.553,1,7985.21
JOB-100196,Compressor,Inspection,East,Mid,Routine,10.921,,41.071,2,36.11,2,5996.32
JOB-100197,Motor,Repair,North,Mid,,8.562,6.006,50.888,7,33.685,,7904.7
JOB-100198,Motor,Preventive,West,Mid,Routine,5.989,0.78,13.125,3,31.019,1,4753.13
JOB-100199,Valve,Repair,East,Mid,Emergency,1.887,10.573,53.336,2,26.857,,10858.24
JOB-100200,Motor,Overhaul,South,Senior,Emergency,7.657,9.958,6.584,5,18.104,2,13894.46
JOB-100201,Valve,Inspection,East,Junior,Routine,5.777,15.643,9.283,3,31.803,2,8160.7
JOB-100202,Valve,Inspection,North,Mid,Routine,6.444,7.935,29.283,1,27.991,1,5337.94
JOB-100203,,Inspection,North,Mid,Priority,6.456,9.423,15.823,3,37.385,3,8087.18
JOB-100204,Motor,Preventive,North,Senior,Routine,1.947,4.678,24.623,2,21.789,1,4676.56
JOB-100205,Valve,Repair,North,Junior,Routine,6.131,4.32,,5,47.12,2,6782.77
JOB-100206,Valve,Repair,South,Mid,Priority,6.867,5.91,37.386,4,37.175,0,8185.9
JOB-100207,Motor,Overhaul,North,Senior,Routine,19.617,3.143,29.725,3,37.363,0,8942.52
JOB-100208,Heat Exchanger,Repair,West,Mid,Priority,6.549,3.997,,3,33.142,2,8118.23
JOB-100209,Compressor,Preventive,West,Mid,Routine,,15.807,9.104,1,34.228,0,9145.96
JOB-100210,Heat Exchanger,Overhaul,North,Mid,Priority,3.739,7.37,10.226,4,31.728,2,11856.44
JOB-100211,Pump,Inspection,West,Senior,Emergency,2.694,6.64,7.828,5,32.469,2,8970.13
JOB-100212,Motor,Inspection,North,Junior,Priority,8.29,5.195,42.979,2,37.61,2,4839.02
JOB-100213,Compressor,Repair,,Senior,Priority,4.756,16.6,19.889,3,28.966,1,10903.97
JOB-100214,Pump,Preventive,West,Mid,Routine,3.151,2.767,,1,36.595,0,4300.93
JOB-100215,Valve,Inspection,North,Junior,Priority,7.653,9.033,,2,41.646,1,5980.22
JOB-100216,Compressor,Overhaul,West,Mid,Routine,3.846,1.354,15.255,4,29.69,4,9094.21
JOB-100217,Heat Exchanger,Repair,East,Senior,Routine,9.789,8.795,15.167,3,23.006,2,9383.9
JOB-100218,Motor,Overhaul,South,Mid,Priority,8.915,,26.857,2,,0,6737.72
JOB-100219,Compressor,Overhaul,East,Mid,Routine,10.551,2.568,11.813,5,31.275,3,10074.84
JOB-100220,Motor,Repair,North,Mid,Priority,3.771,6.237,100.768,1,30.029,2,8323.58
JOB-100221,Compressor,Preventive,,Junior,Priority,5.437,2.423,19.7,3,30.184,1,5971.34
JOB-100222,Compressor,Preventive,West,,Routine,11.99,8.007,12.405,3,40.77,4,8553.57
JOB-100223,Motor,Repair,East,Senior,,12.169,2.156,11.108,,45.152,,6004.54
JOB-100224,Valve,Overhaul,West,Mid,Routine,9.8,3.997,14.809,1,34.459,0,8046.35
JOB-100225,Pump,,South,Junior,Routine,6.669,17.619,9.996,8,42.187,1,10672.66
JOB-100226,Pump,Inspection,North,Senior,Priority,6.063,13.983,,4,25.884,0,9424.81
JOB-100227,Pump,Repair,East,Mid,Routine,4.294,7.519,19.491,0,36.242,4,7048.17
JOB-100228,Compressor,Overhaul,West,Junior,Priority,2.12,4.41,47.496,1,36.196,1,9915.89
JOB-100229,Pump,Preventive,West,,Emergency,,3.721,17.588,5,,1,8500.82
JOB-100230,,Preventive,East,Senior,Routine,9.68,1.554,16.362,,18.025,3,5054.38
JOB-100231,Valve,Preventive,South,Mid,Routine,7.345,2.779,11.01,1,35.723,2,4666.71
JOB-100232,Valve,Repair,East,Mid,Routine,8.357,7.985,46.358,2,24.411,1,7237.79
JOB-100233,Compressor,Repair,North,Mid,Routine,5.022,,7.416,,29.023,2,6369.11
JOB-100234,Pump,Repair,East,Senior,Routine,2.597,12.565,25.869,6,28.53,1,10627.13
JOB-100235,Motor,Preventive,South,Senior,Routine,2.542,6.744,16.676,4,30.116,2,6842.7
JOB-100236,Motor,Inspection,North,Junior,Routine,10.151,5.252,10.617,0,23.475,0,3580.81
JOB-100237,Valve,Inspection,North,Junior,Routine,7.189,4.329,6.704,3,37.572,3,5240.25
