feature_1,feature_2,feature_3,feature_4,feature_5,target
0.63873,-2.95165,0.66854,1.67847,2.28836,1
1.49481,-2.98576,0.79489,4.99767,3.26711,1
-2.21294,0.38298,3.4216,3.61825,2.4911,0
1.23966,2.4024,1.19854,1.34162,2.34714,1
-1.56971,-1.89312,0.92628,3.30273,2.58427,0
0.11254,1.11325,1.38243,2.52554,4.2586,1
0.86756,2.26821,2.01171,3.89367,1.86999,1
-0.37621,-0.07567,0.0719,2.83255,1.22948,0
-0.49936,2.04846,1.44523,3.9253,2.13031,0
2.17498,0.42772,-1.49445,4.43597,1.85833,1
-2.12239,1.89875,0.87132,1.82102,2.22776,1
2.65869,2.01573,-1.56436,5.22628,2.74211,0
-0.47808,-1.72331,-0.32985,1.98484,1.27291,0
1.2994,3.33584,0.98119,0.53053,1.52293,1
-0.53532,3.42699,-0.42415,4.61353,1.81051,0
-0.89889,-1.71844,-3.42641,2.01484,0.43956,0
-1.52924,0.80264,-0.11001,1.59853,2.99793,1
1.99032,3.06952,0.12361,5.26818,2.43977,1
0.44213,0.16521,0.47036,3.1488,1.65487,0
-0.23725,0.26458,0.14238,5.94266,1.92787,0
-0.50171,2.53475,0.43416,3.836,1.53639,0
-2.9359,-0.20055,0.66951,3.43223,1.76238,0
2.04865,-0.82864,-2.59766,1.52625,2.17666,0
3.1318,-1.99885,2.08508,3.76604,-0.68235,0
-0.51488,-1.18974,-0.43486,2.25873,0.36272,0
1.27434,-2.10584,-2.24511,4.3021,2.87436,0
-0.42666,3.1231,-0.40412,4.2104,2.76739,0
3.25029,-1.42496,0.37834,2.53963,1.145,0
1.3919,-1.662,-2.61738,0.2294,1.56022,0
1.40286,3.11165,-1.39,2.92906,1.59228,0
2.98449,1.09154,-0.81084,0.29235,1.28098,0
-2.97022,2.04502,0.87786,1.79962,2.57425,1
0.4453,3.46831,1.5482,1.51441,1.92352,0
0.26448,-0.97165,-0.23355,5.0476,2.33332,0
-1.28079,-3.12682,0.51371,3.8646,2.2978,0
-1.55034,2.7262,0.35764,2.33418,1.97795,0
-1.77331,0.83233,0.19334,2.16823,1.82916,0
2.2929,-1.06943,1.17894,2.85127,0.84494,0
-0.62648,0.68967,1.44845,5.41116,2.0104,0
-2.52989,-1.8702,-0.6988,4.32371,2.71532,1
2.26965,1.26118,-0.03837,1.25889,3.937,0
-2.3295,3.16776,0.13078,1.31307,0.80565,1
-2.84625,-2.44649,0.60645,2.6951,1.08396,1
-2.87955,-0.7768,1.27775,4.06295,2.78924,1
1.48172,-0.7716,-1.13426,4.49921,2.42424,1
0.47668,1.03828,1.23553,5.69685,0.85172,0
0.80626,-1.11205,1.07923,4.49972,0.85129,1
-0.0243,-2.14798,0.79768,0.20277,0.56092,0
3.36224,-1.49584,-0.23428,1.42856,3.76162,0
-1.35953,-3.09222,-1.05583,1.83274,3.1663,0
-2.61327,-1.80517,-2.43364,2.73167,2.26979,0
-3.29082,1.87515,0.04038,1.76204,3.84396,1
-1.45753,-3.42967,1.22516,3.49082,2.47318,1
1.42827,2.20502,-0.38871,4.12061,1.90847,0
-0.06138,1.42573,-0.64814,1.62461,3.11412,0
2.57387,3.3912,0.90347,5.03367,1.71932,1
-2.88431,-2.08793,-0.60991,3.05807,1.38962,1
-2.47199,-2.70898,1.07973,0.53102,1.9709,0
-0.43128,-1.4258,-1.68893,4.90679,2.8252,0
-3.131,2.81945,-0.67273,0.14768,2.87318,0
-1.67828,-2.37845,-1.13695,3.52934,1.59116,0
2.09328,2.80819,-0.0877,0.44361,2.68949,1
-0.00261,2.43536,-1.72133,0.67701,1.05386,0
-0.79495,2.97821,-2.09085,3.06861,1.58273,0
1.55547,-0.75744,0.42417,3.25525,0.50889,0
2.44298,-2.0511,1.09788,0.01112,0.84529,0
-0.02779,2.13194,-1.23532,2.13609,2.84868,0
-2.46579,0.10706,0.39668,4.39694,1.82814,0
1.841,-2.27595,-1.09778,2.06807,0.98311,0
1.40813,-2.27342,0.7635,4.9015,1.96393,0
-1.04396,-2.55248,0.23853,5.99572,1.93693,1
-2.06959,-1.66266,-0.47873,2.27308,0.23776,0
-1.0966,-2.3462,-1.18121,5.69144,2.39158,0
2.51077,3.10522,-1.09938,0.37498,2.56611,1
3.19603,0.40529,2.00579,4.76829,1.65425,1
-1.43652,-0.30608,2.16638,4.00163,0.89047,1
3.3037,3.28754,0.4986,0.19913,0.15387,1
3.31249,0.9073,-0.28127,2.73451,0.71714,1
-2.63496,-2.79116,0.75916,4.46419,3.51225,1
2.33527,-2.07116,0.14525,4.22865,2.31238,1
3.15185,-3.15933,0.28507,0.75731,1.77115,0
1.12483,-1.96381,0.18803,4.38946,1.42468,0
2.47795,-2.71352,0.27215,5.36562,1.09119,1
-2.41531,3.45754,-1.7419,3.11881,3.11476,0
1.0203,-0.20904,0.56607,5.68833,0.89174,1
0.23542,1.67903,-2.93614,4.89272,3.49618,0
2.25279,-1.31315,1.33767,0.06979,1.97117,0
2.48015,2.46396,1.28657,5.4184,0.27092,0
-1.17703,-0.71862,2.44179,3.59586,3.19053,0
-0.87445,-0.32403,-0.86167,2.60726,1.78345,0
-1.31879,3.22494,-1.55945,3.20846,3.38134,0
-1.30659,3.23303,-0.63991,1.19716,2.583,0
-0.6671,3.11222,0.46561,3.26508,2.86782,0
3.22359,-1.90563,-3.71276,4.87298,1.76038,0
1.10846,1.92206,-0.89362,1.1055,2.59024,1
2.89855,0.39796,1.68792,4.08556,2.46735,1
-0.57168,3.16227,-1.34629,1.11067,1.54298,0
-0.8007,-0.62938,0.12183,3.37446,0.98649,0
-1.07464,1.25554,0.21334,1.64827,3.23985,1
1.33154,3.35856,0.40821,1.39121,1.67799,1
-3.13837,0.63327,0.96941,4.15586,0.86887,0
2.34386,-2.06396,-1.07119,2.72506,3.17433,0
1.76671,-1.4961,-1.86688,0.93515,3.05863,0
-0.33056,0.9873,-0.95821,3.93773,2.71598,1
-1.16451,-0.87924,-1.29567,2.98598,1.84227,0
0.14806,2.76401,-1.68299,5.9047,2.94066,1
0.27956,-1.29401,-1.29123,2.79689,1.48611,1
-2.37218,3.00974,1.6656,1.84211,2.64142,1
1.74023,3.30622,0.32879,0.3679,2.25933,1
2.61916,0.7178,0.29984,4.99713,1.47188,1
3.39364,3.10597,-1.42439,2.14538,2.09912,1
-2.74725,-3.36503,1.06647,0.77263,1.48455,1
1.39113,-1.13457,-1.41371,3.24505,2.01777,0
-2.99178,0.44497,-1.12949,2.88392,2.23253,0
-0.08573,1.66068,-2.36643,5.64388,2.12191,0
-0.40174,1.46776,-0.52115,1.81194,2.02677,1
-2.81004,-1.56666,-0.62265,2.02148,2.27531,0
-2.97043,0.48305,0.85635,0.81255,1.34807,1
-0.37006,-1.04911,-1.22343,5.1289,2.27702,0
-1.0162,-3.10365,1.68841,2.39406,3.01703,1
0.24283,3.44712,1.29058,5.65282,1.11376,0
-2.42666,-3.40075,-2.19207,5.00291,1.71732,1
-0.75231,2.54637,1.66058,0.27057,2.03081,0
-1.79843,0.69894,-1.34693,5.66239,0.86243,0
1.31768,2.66928,-0.18248,3.35026,1.72595,1
-0.0905,1.99706,0.37472,1.14391,2.35498,0
1.07048,0.99142,0.39461,4.67029,-0.36601,1
0.27103,-2.4705,0.93906,1.76566,2.35104,0
2.05652,-1.59286,-2.26516,1.05784,0.75499,0
3.18769,2.12786,-0.13003,4.88322,1.70832,0
0.17249,-1.04023,0.37575,3.53723,2.33284,0
-1.57569,2.42082,-0.58773,1.35588,1.62197,1
2.44558,3.15757,1.00034,4.11538,0.5746,1
1.92887,2.52672,2.27066,4.27114,0.43027,1
-0.27272,-3.27756,-0.41642,0.32641,1.16627,0
-0.77027,2.67854,0.13918,4.79648,2.82887,0
-2.34053,0.73081,0.39241,1.66089,1.80137,0
2.16864,-2.55499,1.09902,5.59689,1.22539,0
0.87149,0.88195,2.23214,1.84024,1.02815,1
-0.37744,-2.16596,1.31362,0.44702,3.99735,0
-3.04971,3.2876,-0.31806,0.20226,1.40965,0
-2.05344,-3.35004,-0.87592,3.40432,2.32653,0
-1.7349,-2.11244,-1.52337,2.76365,2.41497,0
-3.09895,-0.56058,-1.23817,5.83066,1.95483,1
0.5669,-3.25232,-1.38238,3.28525,0.604,0
-0.53779,2.63911,-3.5269,2.37137,3.51443,0
-0.60392,-0.03146,-0.35416,0.64376,2.82091,0
-3.2796,3.22209,0.85479,3.93872,1.03779,0
0.16127,0.14309,1.41556,2.79656,2.96477,0
-0.3303,2.16081,-2.29367,4.18976,1.16748,0
-0.81349,1.29435,-1.36351,4.67876,1.87747,0
0.78085,-2.55868,-2.25977,1.18643,1.72977,1
-0.69836,0.0585,-2.44234,0.05519,2.05962,0
-3.40948,2.01833,-1.63315,4.44745,3.36235,0
2.46077,2.93614,-0.58346,5.7035,1.69582,0
-1.02813,3.12381,-0.8122,4.27223,1.43556,0
3.04068,-0.36013,0.99186,4.81806,2.1952,1
-3.04683,-2.7835,0.93678,4.1041,-0.33817,1
1.80193,-0.56766,-0.48118,3.28331,1.08918,0
0.3518,2.91982,-1.98304,2.92802,2.08748,0
-0.84165,3.43815,0.40284,0.32027,2.15413,0
1.06401,-0.37301,1.26137,2.23889,3.46196,1
0.47757,3.35849,-0.28754,2.14249,0.387,0
-0.98387,1.89696,-0.13386,3.48533,2.49493,1
