record_id,machine_type,shift,plant_area,load_percent,temperature_c,vibration_mm_s,age_years,days_since_service,operating_hours,prior_failures,maintenance_duration_hours
REC-00001,Motor,Evening,Process-B,66.189,69.033,1.2971,3.195,58.84,1779.14,0.0,44.533
REC-00002,Fan,Day,Process-B,75.429,73.374,2.6237,10.795,59.59,10800.78,4.0,73.595
REC-00003,Compressor,Day,,59.208,61.564,1.0397,6.847,198.79,1183.33,0.0,60.983
REC-00004,Motor,Day,Process-A,86.442,62.028,2.0992,2.772,79.89,2031.01,1.0,57.855
REC-00005,Pump,Evening,,79.939,45.436,1.9711,8.086,9.42,4221.63,3.0,61.457
REC-00006,Pump,Evening,Packaging,56.704,72.496,2.9541,,186.7,5091.07,0.0,71.78
REC-00007,Compressor,Evening,Process-B,73.484,67.351,3.4888,7.273,9.54,4276.43,4.0,86.783
REC-00008,Motor,Day,,66.804,66.641,1.5818,6.019,80.41,3152.28,2.0,41.622
REC-00009,Pump,Night,Utilities,71.147,52.674,0.5643,6.711,70.94,3319.34,1.0,63.575
REC-00010,Compressor,Night,Process-B,77.052,45.977,0.7784,5.44,169.52,3774.81,3.0,85.746
REC-00011,Fan,Day,Process-A,82.243,80.697,1.0452,5.577,136.38,4523.03,4.0,67.301
REC-00012,,Day,Packaging,83.521,60.026,0.984,7.768,55.77,6129.56,1.0,41.288
REC-00013,Fan,Day,Process-A,75.572,56.049,0.891,1.368,,6882.26,1.0,38.079
REC-00014,Fan,Day,Process-A,66.303,70.774,1.2612,7.498,28.36,6124.35,3.0,46.664
REC-00015,Pump,Night,Utilities,60.951,65.223,2.0426,11.912,44.04,1797.38,1.0,66.719
REC-00016,Compressor,Night,Utilities,90.379,68.103,1.2428,8.731,25.98,,1.0,94.444
REC-00017,Compressor,Evening,Utilities,77.475,59.975,1.7235,2.17,61.25,3730.78,2.0,65.508
REC-00018,Fan,Day,Process-B,102.391,84.514,0.79,5.586,42.6,5334.87,2.0,84.013
REC-00019,Motor,Evening,Packaging,48.277,69.872,0.8953,1.949,38.84,2817.1,0.0,23.419
REC-00020,Fan,,Process-A,89.201,67.97,1.3233,6.501,61.16,6211.04,1.0,63.406
REC-00021,Motor,Day,Process-A,87.701,69.186,3.9522,7.829,96.73,4620.54,3.0,65.818
REC-00022,Pump,Evening,Utilities,86.903,63.9,1.4609,19.268,64.7,1952.27,1.0,64.254
REC-00023,Motor,Night,Process-B,54.438,77.666,1.7509,0.891,36.35,,2.0,63.496
REC-00024,Pump,Day,Process-A,63.662,59.855,1.5077,6.057,58.5,7645.98,1.0,64.42
REC-00025,Compressor,Evening,Process-A,78.078,48.602,1.7795,3.571,131.2,4718.47,0.0,76.217
REC-00026,Pump,Day,Process-B,55.6,62.199,1.2729,6.995,,4625.79,3.0,66.725
REC-00027,Motor,Night,Process-B,83.777,58.204,3.4367,5.939,155.05,7092.19,2.0,87.135
REC-00028,Motor,Night,Process-A,66.119,71.09,3.28,8.107,92.49,5653.76,,74.053
REC-00029,Compressor,Evening,Utilities,94.358,81.754,1.4571,15.387,41.27,4171.79,1.0,98.831
REC-00030,Motor,Day,Process-A,77.532,86.0,2.1481,3.319,95.87,5034.87,,70.407
REC-00031,Motor,Evening,Process-B,50.073,80.768,0.7028,5.058,12.63,3586.98,2.0,55.628
REC-00032,Motor,Evening,Process-A,75.94,73.08,3.6698,2.564,81.98,1857.88,2.0,69.034
REC-00033,Motor,Evening,Process-A,84.52,72.039,1.3921,3.232,130.15,3789.79,1.0,67.851
REC-00034,Compressor,Night,Process-A,99.568,75.009,0.6353,7.796,80.07,3025.09,2.0,103.208
REC-00035,Pump,Evening,Process-A,71.709,74.709,,7.4,69.8,2254.17,0.0,61.633
REC-00036,Motor,Day,Process-A,80.728,,5.1322,18.612,132.02,3947.49,0.0,90.574
REC-00037,Compressor,Day,Packaging,76.193,55.935,0.9366,15.78,145.9,2577.78,1.0,72.694
REC-00038,Pump,Evening,Process-A,90.345,82.869,1.4412,1.769,,8088.52,3.0,86.423
REC-00039,Compressor,Night,Packaging,37.454,,0.9299,18.176,50.64,12708.98,1.0,87.739
REC-00040,Fan,Day,Process-B,61.684,43.797,1.4998,3.949,102.98,3086.57,0.0,54.669
REC-00041,Pump,Day,Packaging,55.902,66.426,4.1078,2.475,28.78,9667.51,1.0,58.869
REC-00042,Motor,Day,Process-A,91.339,75.738,1.2559,4.576,85.35,4442.95,0.0,64.858
REC-00043,Compressor,,Process-B,49.422,65.656,1.6457,22.0,143.69,15968.39,0.0,107.427
REC-00044,Pump,Night,Packaging,75.633,64.527,1.5287,9.006,35.02,5812.79,0.0,58.795
REC-00045,Pump,Evening,Utilities,72.278,51.314,1.5837,8.97,,3001.51,1.0,58.358
REC-00046,Fan,Day,Process-A,62.682,64.77,1.7996,11.722,64.56,3051.17,3.0,57.779
REC-00047,Pump,Day,Packaging,76.88,56.014,0.8517,3.612,27.09,10442.55,0.0,45.407
REC-00048,Motor,Night,Process-B,61.098,71.883,3.0281,4.427,46.0,2444.04,2.0,61.025
REC-00049,Pump,Day,Process-B,88.245,,1.1201,4.006,35.49,5365.82,2.0,66.773
REC-00050,Motor,Day,Process-A,70.387,58.681,1.582,7.902,113.96,3004.31,1.0,64.693
REC-00051,Pump,Day,Process-A,68.2,67.05,2.2723,1.546,75.55,5761.88,0.0,53.684
REC-00052,Motor,Evening,Packaging,65.421,60.173,2.0339,1.741,28.1,7691.47,1.0,31.507
REC-00053,Fan,Day,Packaging,69.702,65.882,1.2854,3.405,32.33,5457.46,1.0,29.841
REC-00054,Compressor,Evening,Utilities,77.145,56.754,3.0026,8.808,27.57,1764.64,1.0,73.205
REC-00055,Motor,Day,Process-A,54.72,48.296,3.0221,1.727,101.7,7013.68,3.0,48.512
REC-00056,Pump,Evening,Process-B,88.522,47.649,,5.215,104.16,795.65,1.0,78.759
REC-00057,Pump,Night,Process-B,88.989,46.741,1.7458,11.651,116.56,9248.28,0.0,94.21
REC-00058,Compressor,Night,Process-A,52.804,57.619,2.3938,3.291,74.12,6861.8,0.0,78.515
REC-00059,Pump,Evening,Packaging,55.38,68.867,2.5385,6.036,149.14,7238.42,1.0,62.854
REC-00060,Pump,Night,Packaging,67.123,58.617,4.0126,6.915,150.97,3222.74,2.0,67.222
REC-00061,Fan,Night,Process-B,66.752,60.049,4.5651,4.422,39.44,3564.04,1.0,74.236
REC-00062,Pump,Day,Packaging,75.867,71.134,1.6159,10.024,183.2,4744.95,2.0,61.376
REC-00063,Compressor,Day,Utilities,55.151,66.795,1.7083,10.578,109.66,3349.53,1.0,59.622
REC-00064,Pump,Night,Process-A,,54.503,2.8186,4.255,26.74,,0.0,76.467
REC-00065,Compressor,Day,Packaging,66.043,76.635,1.0691,3.269,,,0.0,56.306
REC-00066,Compressor,Day,Process-A,53.105,68.116,2.345,7.137,55.18,4256.29,1.0,71.521
REC-00067,Motor,Day,Process-B,81.736,72.752,1.4005,8.587,171.91,2694.57,0.0,68.683
REC-00068,Fan,Day,Utilities,59.237,67.939,1.4756,14.523,84.9,4826.58,1.0,51.274
REC-00069,Motor,Day,Utilities,,73.183,1.5669,2.606,140.82,6635.01,4.0,52.192
REC-00070,Compressor,Evening,Packaging,66.641,62.152,3.0657,2.276,94.21,4993.31,0.0,61.705
REC-00071,Motor,Evening,Process-A,74.288,77.774,0.4756,4.646,73.61,3776.09,0.0,64.925
REC-00072,Motor,Night,Utilities,76.057,68.485,0.8491,4.101,46.02,3808.31,3.0,44.398
REC-00073,Motor,Day,Packaging,31.628,64.867,1.3323,8.637,45.71,6662.08,0.0,35.799
REC-00074,Fan,Evening,Packaging,81.004,78.429,2.3397,10.854,31.18,5245.28,0.0,71.719
REC-00075,Fan,,Packaging,25.424,63.307,0.9474,9.417,213.64,4125.3,0.0,39.652
REC-00076,Fan,Evening,Process-B,87.359,75.453,2.2496,4.75,132.32,807.63,0.0,55.301
REC-00077,Pump,Day,Process-A,92.094,72.355,3.5674,3.186,118.05,13546.3,2.0,85.907
REC-00078,Motor,Night,Process-B,77.368,71.019,2.4422,11.411,113.1,5987.36,2.0,95.884
REC-00079,Pump,Night,Process-A,80.388,83.168,1.4114,8.384,38.52,7834.08,2.0,81.537
REC-00080,Motor,Day,Process-A,76.447,86.352,1.0687,6.415,163.86,12707.33,2.0,72.948
REC-00081,Motor,Day,Process-A,59.927,63.114,1.117,6.822,61.14,8592.9,1.0,51.946
REC-00082,Fan,Day,Packaging,95.357,55.758,1.54,,66.97,4875.63,0.0,41.819
REC-00083,Pump,Day,Packaging,74.528,66.685,2.2897,4.707,118.79,2099.11,1.0,62.453
REC-00084,Pump,Evening,Process-A,77.633,91.377,1.4166,0.879,135.0,2792.73,1.0,82.95
REC-00085,Pump,Day,Utilities,80.514,56.176,0.8433,0.757,30.86,3809.16,2.0,48.047
REC-00086,Pump,Day,,78.706,,1.3805,1.73,42.0,,4.0,70.793
REC-00087,Pump,Day,Process-B,,74.546,2.4101,8.615,67.48,7001.83,3.0,70.42
REC-00088,Pump,Evening,,72.883,65.291,2.8063,13.221,101.3,12122.45,1.0,84.488
REC-00089,Pump,Evening,Process-A,71.33,75.56,1.3003,,,2965.93,2.0,81.645
REC-00090,Fan,Evening,Packaging,85.939,68.879,0.397,9.225,102.2,4619.2,1.0,36.903
REC-00091,Pump,Night,Utilities,62.926,67.415,2.4119,6.82,47.7,3744.18,1.0,63.143
REC-00092,Motor,Evening,Process-B,66.704,57.531,1.5048,5.167,112.58,3364.96,,69.044
REC-00093,Fan,Night,Process-B,91.712,58.424,1.7089,5.323,49.44,9919.43,3.0,75.2
REC-00094,Fan,Evening,Process-B,60.599,67.13,,3.659,99.49,9252.26,2.0,59.005
REC-00095,Motor,Day,Process-B,81.542,66.049,3.6499,2.912,35.44,6511.19,1.0,65.862
REC-00096,Pump,Day,Process-A,74.396,56.605,2.8755,7.376,104.89,2464.18,2.0,67.607
REC-00097,Motor,Night,Process-A,67.675,66.61,1.6469,3.339,170.18,1577.44,3.0,64.891
REC-00098,Pump,Day,Packaging,88.268,66.463,,1.297,28.11,3021.93,2.0,28.719
REC-00099,Motor,Night,Utilities,84.695,43.424,4.7563,1.696,,4138.69,0.0,54.291
REC-00100,Fan,Day,Packaging,78.295,73.572,3.2305,20.408,54.66,2900.68,3.0,60.329
REC-00101,Pump,Day,,49.612,81.53,,11.181,35.93,,2.0,84.381
REC-00102,Fan,Day,Process-A,67.773,78.101,1.7909,4.644,28.86,7184.12,1.0,55.569
REC-00103,Motor,Day,Utilities,61.692,61.168,0.8654,1.899,19.61,3233.12,2.0,37.189
REC-00104,Pump,Night,Process-A,,45.039,1.9588,13.473,34.19,4730.29,1.0,84.038
REC-00105,Pump,Day,Process-A,,65.394,0.7339,10.048,3.85,4074.23,3.0,64.743
REC-00106,Pump,Evening,Process-A,58.701,78.304,0.3318,4.564,23.77,3396.44,2.0,49.366
REC-00107,Pump,Day,,61.928,62.31,1.0375,2.924,105.2,3961.63,4.0,44.584
REC-00108,Fan,Day,,71.272,71.47,6.523,7.563,47.12,6410.24,3.0,76.603
REC-00109,Compressor,Day,Packaging,44.534,68.328,0.6562,2.393,39.47,17925.18,1.0,72.108
REC-00110,Compressor,Day,Process-A,68.689,73.629,,5.606,26.18,8653.47,3.0,85.867
REC-00111,Motor,Day,Process-B,100.976,68.125,0.7836,2.131,113.28,,2.0,71.451
REC-00112,Compressor,Night,Process-A,60.756,68.394,1.9956,8.336,58.17,,1.0,87.086
REC-00113,Pump,Evening,Utilities,51.374,64.338,1.9368,11.077,43.31,6493.82,1.0,71.47
REC-00114,Fan,Day,Utilities,80.79,,0.9543,3.251,90.89,5857.94,0.0,33.361
REC-00115,Compressor,Evening,Packaging,51.703,49.755,1.3107,3.245,32.78,1797.13,1.0,73.101
REC-00116,Compressor,Day,Process-A,82.842,72.072,1.6349,3.604,89.92,8178.83,2.0,92.805
REC-00117,Motor,Evening,,69.983,41.346,0.3361,1.705,44.5,6515.64,1.0,52.99
REC-00118,Pump,Day,Utilities,68.371,67.887,5.0716,1.2,174.0,7853.83,2.0,81.522
REC-00119,Motor,Day,Process-A,75.383,63.738,2.6873,17.269,130.14,5160.45,2.0,70.22
REC-00120,Motor,Day,Process-B,44.999,79.056,1.5267,22.0,127.77,3142.38,1.0,72.456
